r,p(r),s,v,p(z),z,,r,z=T(r)
240,0.00041961669921875,0.9198150634765625,0.9287106994881775,0.004752620034121375,240,,240,239
241,0.00040435791015625,0.9202194213867188,0.9334633195222989,0.004752620034121375,241,,241,239
242,0.00042724609375,0.9206466674804688,0.9382159395564202,0.004752620034121375,242,,242,239
243,0.0003509521484375,0.9209976196289062,0.9429685595905416,0.004752620034121375,243,,243,239
244,0.000484466552734375,0.9214820861816406,0.947721179624663,0.004752620034121375,244,,244,239
245,0.00041961669921875,0.9219017028808594,0.9524737996587843,0.004752620034121375,245,,245,239
246,0.00049591064453125,0.9223976135253906,0.9572264196929057,0.004752620034121375,246,,246,239
247,0.00038909912109375,0.9227867126464844,0.961979039727027,0.004752620034121375,247,,247,239
248,0.000423431396484375,0.9232101440429688,0.9667316597611484,0.004752620034121375,248,,248,239
249,0.000446319580078125,0.9236564636230469,0.9714842797952697,0.004752620034121375,249,,249,239
250,0.00061798095703125,0.9242744445800781,0.9762368998293911,0.004752620034121375,250,,250,240
251,0.00067901611328125,0.9249534606933594,0.9809895198635125,0.004752620034121375,251,,251,240
252,0.0007476806640625,0.9257011413574219,0.9857421398976338,0.004752620034121375,252,,252,240
253,0.001316070556640625,0.9270172119140625,0.9904947599317552,0.004752620034121375,253,,253,240
254,0.01177978515625,0.9387969970703125,0.9952473799658765,0.004752620034121375,254,,254,243
255,0.0612030029296875,1.0,0.9999999999999979,0.004752620034121375,255,,255,255
